"Complete payment with Pagolight:","Richiedi il finanziamento di questo ordine a Pagolight:"
"You will be redirected to Pagolight website in 5 seconds. If not work, click on the below button.","Tra 5 secondi verrai rediretto al sito di Pagolight. Se l'automatismo non funziona, clicca sul bottone sottostante."
"go to Pagolight","vai al sito Pagolight"
